vnr,frequency,sum
21975,187,0.729298353803725
416735,187,0.729298353803725
108449,187,0.729298353803725
434852,187,0.729298353803725
157863,187,0.729298353803725
496968,187,0.729298353803725
56122,186,0.730493173681417
546549,186,0.730493173681417
378489,186,0.730493173681417
65286,186,0.730493173681417
445544,186,0.730493173681417
74206,186,0.730493173681417
453589,185,0.731879635815476
401224,185,0.731879635815476
39178,185,0.731879635815476
129319,185,0.731879635815476
142323,185,0.731879635815476
65979,185,0.731879635815476
15948,185,0.731879635815476
141754,184,0.733455598951643
453613,184,0.733455598951643
190751,184,0.733455598951643
8326,184,0.733455598951643
557686,184,0.733455598951643
481534,184,0.733455598951643
15741,184,0.733455598951643
85251,184,0.733455598951643
