varenr,Frequency,,,
136986,125,,,
14343,125,,,
443200,125,,,
516211,125,,,
12243,125,,,
24276,125,,,
24781,124,,,
10057,124,,,
85633,124,,,
130816,124,,,
13197,124,,,
567693,124,,,
166941,123,,,
10429,123,,,
417311,123,,,
568519,123,,,
89847,123,,,
527457,123,,,
15754,123,,,
193813,123,,,
591461,123,,,
24176,123,,,
409763,123,,,
86552,123,,,
120485,123,,,
499020,122,,,
84293,122,,,
22188,122,,,
23867,122,,,
522441,122,,,
113267,122,,,
66076,122,,,
447482,122,,,
507660,122,,,
120923,122,,,
197194,121,,,
135253,121,,,
19454,121,,,
8235,121,,,
409516,121,,,
469148,121,,,
16276,121,,,
7920,121,,,
399915,121,,,
398747,121,,,
469346,121,,,
466680,120,,,
400143,120,,,
161132,120,,,
140814,120,,,
511329,120,,,
100040,120,,,
447641,120,,,
389901,120,,,
6382,120,,,
162933,120,,,
76092,120,,,
14198,120,,,
3279,120,,,
51699,120,,,
3746,119,,,
478727,119,,,
22419,119,,,
23847,119,,,
101284,119,,,
8194,119,,,
17251,119,,,
80747,119,,,
77942,119,,,
565374,119,,,
25496,119,,,
164164,118,,,
23845,118,,,
21402,118,,,
377242,118,,,
409474,118,,,
123820,118,,,
435594,118,,,
142190,118,,,
118076,118,,,
85260,118,,,
37687,117,,,
11222,117,,,
535807,117,,,
390260,117,,,
378349,117,,,
30494,117,,,
424895,117,,,
5005,117,,,
166157,117,,,
99112,117,,,
372615,117,,,
181255,117,,,
167282,117,,,
3430,117,,,
578513,117,,,
415133,116,,,
97870,116,,,
116198,116,,,
101461,116,,,
110775,116,,,
173619,116,,,
86108,116,,,
13690,115,,,
47159,115,,,
151217,115,,,
86801,115,,,
61706,115,,,
11926,115,,,
160267,115,,,
91015,115,,,
435834,115,,,
15389,115,,,
87312,115,,,
5764,115,,,
419242,115,,,
61079,115,,,
456236,115,,,
180125,115,,,
25535,115,,,
97356,114,,,
115375,114,,,
585158,114,,,
50971,114,,,
22675,114,,,
46797,114,,,
497077,114,,,
91034,114,,,
388298,114,,,
117208,114,,,
409847,114,,,
4855,114,,,
382730,113,,,
49684,113,,,
12820,113,,,
500041,113,,,
10379,113,,,
19515,113,,,
173013,113,,,
8562,113,,,
43798,113,,,
4241,113,,,
48017,113,,,
25617,113,,,
570358,112,,,
101369,112,,,
67705,112,,,
78980,112,,,
467241,112,,,
15652,112,,,
528679,112,,,
11198,111,,,
429506,111,,,
116353,111,,,
11947,111,,,
463500,111,,,
558335,111,,,
78015,111,,,
6134,111,,,
111995,111,,,
444406,111,,,
590513,111,,,
5922,111,,,
560193,110,,,
11163,110,,,
453423,110,,,
177337,110,,,
23911,110,,,
379875,110,,,
58910,110,,,
69596,110,,,
55889,110,,,
30544,110,,,
17903,110,,,
444471,110,,,
5674,110,,,
40742,110,,,
553313,110,,,
142986,109,,,
